timestep,target,baseline_mean,baseline_std,conditioned_mean,conditioned_std
318,0.5,0.07677888,0.059378963,0.010535502,0.0
319,0.5,0.078675896,0.059384607,0.009453144,0.0
320,0.5,0.07828722,0.05778304,0.008025733,0.0
321,0.5,0.07789844,0.058351073,0.0070561594,0.0
322,0.5,0.07749155,0.057953045,0.005366834,0.0
323,0.5,0.07682866,0.060874198,0.0035377946,0.0
324,0.5,0.07541293,0.06124813,0.0041060955,0.0
325,0.5,0.07512014,0.061404027,0.0043700472,0.0
326,0.5,0.07522448,0.060679607,0.0031416412,0.0
327,0.5,0.0748038,0.05901265,0.00056802825,0.0
328,0.5,0.074379854,0.059032645,0.0016950329,0.0
329,0.5,0.07392808,0.061300054,0.0025440992,0.0
330,0.5,0.074336484,0.06256697,0.00036127632,0.0
331,0.5,0.07621987,0.06435606,-0.0006823001,0.0
332,0.5,0.077790216,0.06499967,-0.0009088592,0.0
333,0.5,0.07778449,0.06547897,4.580979e-05,0.0
334,0.5,0.07965059,0.06820201,0.00054764946,0.0
335,0.5,0.08285646,0.07116391,-0.0002418335,0.0
336,0.5,0.08242624,0.070083134,-7.900062e-05,0.0
337,0.5,0.08229029,0.07286664,-0.00027976607,0.0
338,0.5,0.08165786,0.07439563,0.0013444022,0.0
339,0.5,0.08081027,0.07437877,0.0023036096,0.0
340,0.5,0.08100534,0.0760988,-0.00017816697,0.0
341,0.5,0.08114576,0.07712854,-0.0003511107,0.0
342,0.5,0.07927997,0.07622035,0.00014387147,0.0
343,0.5,0.079552874,0.077150345,-0.0001194182,0.0
344,0.5,0.076981276,0.07407314,0.00013042254,0.0
345,0.5,0.08419633,0.069064446,0.00016073843,0.0
346,0.5,0.07972741,0.06760296,-0.00087771716,0.0
347,0.5,0.07552058,0.066812836,0.00066521775,0.0
348,0.5,0.08276079,0.06376628,-0.00028730242,0.0
349,0.5,0.07439465,0.065510854,-0.0007012397,0.0
